moa	dose	assay	avg_precision	no_of_compounds_per_moa	median_replicate_correlation	p_value_percent_matching
angiotensin receptor antagonist	0.04 uM	Cell Painting	0.00534627555105345	4	-0.0012266702480597455	0.669
angiotensin receptor antagonist	0.12 uM	Cell Painting	0.0026369186380640437	4	-0.01192826869646108	0.835
angiotensin receptor antagonist	0.37 uM	Cell Painting	0.004100625665556483	4	0.0029736922987490307	0.581
angiotensin receptor antagonist	1.11 uM	Cell Painting	0.004949617503618825	4	0.011832349613833108	0.392
angiotensin receptor antagonist	3.33 uM	Cell Painting	0.00961907515369616	4	0.04350531128244181	0.059
angiotensin receptor antagonist	10 uM	Cell Painting	0.008662568577579442	4	0.031275328715616293	0.285
angiotensin receptor antagonist	All	Cell Painting	0.0031925885374164413	24	0.00810845874099983	0.226
angiotensin receptor antagonist	0.04 uM	L1000	0.009671502013981682	4	0.08968765630080197	0.087
angiotensin receptor antagonist	0.12 uM	L1000	0.018629151942990144	4	0.03755299043815272	0.326
angiotensin receptor antagonist	0.37 uM	L1000	0.011097289466458174	4	0.061035841192708065	0.194
angiotensin receptor antagonist	1.11 uM	L1000	0.005825372249482004	4	0.022926283133674473	0.482
angiotensin receptor antagonist	3.33 uM	L1000	0.010009975498659415	4	0.042994518290356984	0.274
angiotensin receptor antagonist	10 uM	L1000	0.010280412625309418	4	0.04584598537425618	0.284
angiotensin receptor antagonist	All	L1000	0.005600296129619501	24	0.04880738133464871	0
antithyroid agent	All	Cell Painting	0.0011194489686442244	12	0.018127683279939466	0.007
antithyroid agent	All	L1000	7.739657172214161e-4	12	0.0037157283002009524	0.993
antiviral	All	Cell Painting	0.0038129768026289247	12	0.03911607328477994	0
antiviral	All	L1000	8.044194380631658e-4	12	0.01044322605429994	0.939
aromatase inhibitor	0.04 uM	Cell Painting	0.2306721337835665	3	0.07616831167092399	0.018
aromatase inhibitor	0.12 uM	Cell Painting	0.00871708698497152	3	0.08440498195743115	0.006
aromatase inhibitor	0.37 uM	Cell Painting	0.07389392273145368	3	0.22193795219854284	0
aromatase inhibitor	1.11 uM	Cell Painting	0.027440683064128373	3	0.11443770187037405	0.001
aromatase inhibitor	3.33 uM	Cell Painting	0.05170735123861313	3	0.13972026456139594	0.005
aromatase inhibitor	10 uM	Cell Painting	0.014313076860595157	3	0.0819360649135572	0.081
aromatase inhibitor	All	Cell Painting	0.01748849648800476	18	0.10450767969436292	0
aromatase inhibitor	0.04 uM	L1000	0.014105808886186035	3	0.005931244726920643	0.559
aromatase inhibitor	0.12 uM	L1000	0.00465482818639725	3	0.11643434392994378	0.065
aromatase inhibitor	0.37 uM	L1000	0.03693084106995105	3	0.12145687531515117	0.076
aromatase inhibitor	1.11 uM	L1000	0.0049589150003855114	3	0.064237598148390307	0.205
aromatase inhibitor	3.33 uM	L1000	0.058441302425689554	3	0.08119276754924595	0.135
aromatase inhibitor	10 uM	L1000	0.008349671220175834	3	0.03099488440619807	0.407
aromatase inhibitor	All	L1000	0.004026123027138818	18	0.0639913734901573	0
atp channel blocker	0.04 uM	Cell Painting	0.00917138569165768	3	0.05068545266452767	0.072
atp channel blocker	0.12 uM	Cell Painting	0.00642938811255643	3	0.007274754261416562	0.475
atp channel blocker	0.37 uM	Cell Painting	0.005842132022939161	3	0.025387284957360534	0.244
